Provinsi dg Rata2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Jenis Pekerjaan Utama (Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tenaga Profesional, Teknisi dan yang Sejenis",,,Tenaga Kepemimpinan dan Ketatalaksanaan,,,Tenaga Tata Usaha dan yang Sejenis,,,Tenaga Usaha Penjualan,,,Tenaga Usaha Jasa,,,"Tenaga Usaha Pertanian, Kehutanan, Perburuan dan Perikanan",,,"Tenaga Produksi, Operator Alat-alat Angkutan dan Pekerja Kasar",,,Lainnya,,,Jumlah,,
,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
ACEH,2713945,2981520,-,5133320,5812628,-,3373298,3095909,-,3398233,2080224,-,1885339,1621239,-,2160569,2380066,-,2547079,2459302,-,4080986,4699891,-,2884151,2837520,-
SUMATERA UTARA,3129672,3214099,-,4991248,5814967,-,3073877,3272063,-,2326467,2401596,-,1601345,1749327,-,1874530,2328571,-,2544361,2742732,-,2944563,3523941,-,2647529,2815066,-
SUMATERA BARAT,3257818,3547621,-,5197987,5606816,-,2811859,3348669,-,2571444,2229147,-,1399633,2210435,-,2095397,2148026,-,2465030,2435487,-,4329754,3690923,-,2831404,2911450,-
RIAU,3614588,3804879,-,3371978,4916561,-,3421979,3417085,-,2571713,2485335,-,1602021,2028512,-,2433482,2756533,-,3156882,3150220,-,3737657,3563134,-,3083274,3144261,-
JAMBI,3144836,3409725,-,8587547,6812333,-,3199524,3171376,-,2208600,2528612,-,2058526,2221689,-,1998954,2219306,-,2532997,3009108,-,3201595,3793776,-,2789581,2975646,-
SUMATERA SELATAN,2949990,3695599,-,4661158,5768709,-,3435611,3660703,-,2434652,2482655,-,1487199,1885189,-,1993603,2158824,-,2935136,2987150,-,3468483,4075076,-,2727684,3015055,-
BENGKULU,2722786,3544546,-,4208505,5862473,-,2848538,3333651,-,1947289,2339947,-,1794264,2048700,-,2032637,2151457,-,2344716,2338116,-,3539774,3805763,-,2566215,2935681,-
LAMPUNG,2565592,2927623,-,2845858,5735902,-,2763641,3299214,-,1783079,2039282,-,1469648,1736635,-,1786412,2039242,-,2347380,2315360,-,3947820,3902352,-,2320932,2520619,-
KEP. BANGKA BELITUNG,3840638,4030362,-,3072517,5159908,-,3722496,3937234,-,2376116,2634026,-,1778884,1895948,-,2926325,2774180,-,3055374,2871376,-,4473842,4328564,-,3155887,3202690,-
KEP. RIAU,5754810,5933240,-,6328247,8448257,-,4047910,5004710,-,4011226,3468556,-,2497503,2683037,-,2942935,2456126,-,5093424,4734870,-,4265519,5088048,-,4741492,4768990,-
DKI JAKARTA,7933903,7421972,-,11241319,10311640,-,5416843,6813205,-,4278522,5011088,-,2877226,4436525,-,-,1636857,-,3714385,5073808,-,4025452,5257887,-,4878943,4878943,-
JAWA BARAT,3653882,4826039,-,7086063,8631737,-,4429960,5208152,-,3176262,3495362,-,2003917,2542146,-,1658821,2176900,-,2998872,3269887,-,3328882,3961252,-,3258613,3768080,-
